event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KGZ2122,07/06/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Vostok,42.9045,74.6728,2,Youtube,New media,"On 7 June 2024, residents of Oktyabr village near Vostok township in Alamudun district of Chui region gathered near their homes in protest of unfair land distribution deal and alleged corruption of local administration officials calling for the authorities to resolve their land dispute.",0,crowd size=no report,1724787146
KGZ2175,17/08/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Health Workers (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Tokmok,,Tokmok,42.8419,75.3014,1,Youtube,New media,"On 17 August 2024, employees of the psychoneurotic social stationery facility 2 gathered outside their work station in Tokmok city of Chui region in protest of alleged corruption of the facility management and alleged abuse of patients with intellectual disability calling for the country's government to probe top managers and resolve workers' concerns.",0,crowd size=no report,1724787146
KGZ393,08/05/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Vostok,42.9045,74.6728,1,Sanjar Kalmatai,New media,"On 8 May 2020, about 15 workers protested outside the Meade company's office in Vostok village of Alamudun district in Chui region demanding their back pay which they have been trying to receive from the firm for more than a week. Protesters complained they need money to pay for food and rent during coronavirus emergency in the country and urged the Kyrgyz authorities to intervene in their case.",0,crowd size=about 15,1724787146
KGZ925,01/03/2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Mykan,42.937,74.6546,1,RFE/RL,International,"On 1 March 2021, about 100 residents of Mykan village in Alamudun district of Chui region gathered at the nearby crop field demanding the authorities distribute land plots for housing purposes.",0,crowd size=about 100,1724787146
KGZ926,02/03/2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Mykan,42.937,74.6546,2,Kaktus Media,National,"On 2 March 2021, protesters gathered near the crop fields by Ak-Jar settlement near the village of Mykan in Alamudun district of Chui region demanding the authorities provide land plots for housing or else protesters will take the land without approval. Police were on the scene to prevent illegal land grab.",0,crowd size=no report,1724787146
KGZ211,03/06/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Koi-Tash,42.7166,74.6641,1,AKIpress; Sputnik News Service,National-Regional,"On 3 June 2019, supporters of opposition politician gathered outside the Bishkek police department building, opposing her detention and claiming it political. Reportedly around 40 protesters gathered.",0,crowd size=around 40,1762894797
KGZ60,31/10/2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,24Kg; AKIpress; Sputnik News Service,National-Regional,"On 31 October 2018, approximately 50 people claiming to be supporters of a former Presidential advisor held a protest in front of Bishkek City Court demonstrating against his arrest.",0,crowd size=approximately 50,1762894797
KGZ2183,13/09/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Ysyk-Ata,,Novopokrovka,42.8707,74.7331,1,Youtube,New media,"On 13 September 2024, residents of Novopokrovka village near the town of Kant in Ysyk-Ata district of Chui region gathered on disputed land near their homes in protest of alleged corruption at the local administration due to longstanding land dispute, calling for the country's government to resolve the dispute and allow villagers to build homes on the land.",0,crowd size=no report,1726602890
KGZ718,03/11/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Sverdlov,,Lebedinovka,42.8848,74.6754,2,New TV,National,"On 3 November 2020, residents of Birimdik Kut village near Lebedinovka township in Alamadun district of Chui region protested against lack of social infrastructure, including a school and bad roads accusing the regional administration officials of corruption and demanding the authorities address their grievances.",0,crowd size=no report,1726602890
KGZ804,23/12/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Ysyk-Ata,,Kara-Jygach,42.808,74.7106,1,NTS Kg,National,"On 23 December 2020, residents of the Kara-Jygach village in Alamudun district of Chui region protested near their homes against the disposal of 16,000 dead chickens by the local chicken farm in the area, demanding the disease control authorities investigate the farm for possible infection source.",0,crowd size=no report,1726602890
KGZ2184,18/09/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Kemin,,Ilyich,42.7859,76.002,1,AKIpress,National,"On 18 September 2024, activists gathered in the village of Ilyich in Kemin district of Chui region in protest of sale of alcohol in the area due to recent homicide cases in the village which took place after alcohol consumption. Activists purchased and collected alcohol beverages at the local shops and destroyed those bought alcohol items, calling for public to support restriction of alcohol distribution in the area.",0,crowd size=no report,1727204938
KGZ2185,18/09/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Kemin,,Zhany-Zhol,42.7743,75.9516,1,AKIpress,National,"On 18 September 2024, activists gathered in the village of Zhany-Zhol in Kemin district of Chui region in protest of sale of alcohol in the area due to recent homicide cases in the village which took place after alcohol consumption. Activists purchased and collected alcohol beverages at the local shops and conducted utilization of alcohol items calling for public to support restriction of alcohol distribution in the area.",0,crowd size=no report,1727204938
KGZ2186,15/09/2024,2024,1,Political violence,Violence against civilians,Attack,Police Forces of Kyrgyzstan (2021-),,State forces,Civilians (Kyrgyzstan),Prisoners (Kyrgyzstan),Civilians,State forces-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Jalal-Abad,Ala-Buka,,Ala-Buka,41.4064,71.4841,1,24Kg,National,"On 15 September 2024, police officers physically assaulted and tortured a male detainee at the police station in Ala-Buka township of Jalal-Abad region. The country's National Center for Prevention of Torture filed report with the prosecutor's office calling for investigation into the torture incident.",0,,1754410220
KGZ2190,30/09/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Jalal-Abad,Jalal-Abad,,Jalal-Abad,40.9332,72.998,1,AKIpress,National,"On 30 September 2024, relatives of a deceased 18-year-old male resident of Suzak district in Jalal-Abad region demonstrated outside the regional governor's office in Jalal-Abad city demanding justice and transparent criminal investigation into their family member's death due to lack of trust in the district police department.",0,crowd size=no report,1728421379
KGZ2192,04/10/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Jalal-Abad,Jalal-Abad,,Jalal-Abad,40.9332,72.998,1,Youtube,New media,"On 4 October 2024, victims of prolonged housing construction fraud gathered on the premises of the incomplete apartment building construction site in Jalal-Abad city in protest of the developer company's alleged fraudulent activity calling for the country's government to resolve the dispute.",0,crowd size=no report,1729023752
KGZ2193,05/10/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Balykchy,,Balykchy,42.4651,76.1934,2,RFE/RL,International,"On 5 October 2024, road construction workers of the Long Hai company gathered near the town of Balykchy in Issyk-Kul region in protest of unpaid wages since December 2023 calling for the country's government to ensure that the Chinese contractor company provides owed pay in full.",0,crowd size=no report,1729023752
KGZ2194,07/10/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Osh,Kara-Suu,,Papan,40.3002,72.9877,2,Youtube,New media,"On 7 October 2024, residents of Karagur village near the town of Papan in Kara-Suu district of Osh region gathered outside their homes in protest of destruction of glaciers due to road construction project involving the state-run Kyrgyz komur company calling for the authorities to ensure glaciers remain in place.",0,crowd size=no report,1729023752
KGZ2195,08/10/2024,2024,2,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Sokuluk,,Gavrilovka,42.8673,74.3601,1,AKIpress,National,"Around 8 October 2024 (as reported), residents of Gavrilovka village in Sokuluk district of Chui region gathered outside their homes in protest of lack of road safety in the area due to proximity of Bishkek-Kara-Balta motor road to the local schools and daycares, which resulted in multiple fatalities in the village, calling for the authorities to install traffic lights and designated pedestrian crossings.",0,crowd size=no report,1729023752
KGZ1354,05/12/2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Sokuluk,,Sokuluk,42.8568,74.2924,1,Kaktus Media,National,"On 5 December 2021, about 50 residents of Sokuluk district protested and attempted to storm the district police station in Sokuluk township of Chui region demanding justice in a 16-year-old local female rape case.",0,crowd size=about 50,1758048284
